index,vocab
1020,H19
1021,JADE2
1022,NR1I3
1023,PARP11
1024,PTBP1
1025,ZACN
1026,LINC00314
1027,MIR660
1028,IMPG2
1029,CD177
1030,FSBP
1031,SNORD116-24
1032,SGCZ
1033,SPCS1
1034,ST8SIA6-AS1
1035,RIT1
1036,POTEC
1037,TNFRSF19
1038,PHC1
1039,NREP-AS1
1040,AOC3
1041,INTS1
1042,EEF1DP4
1043,ORAI1
1044,NCOA1
1045,SOX21
1046,CDC25C
1047,GNPNAT1
1048,SNORD110
1049,MEIOB
1050,KRT18P16
1051,SLC2A3P1
1052,SPZ1
1053,B4GALNT3
1054,CEP83
1055,SCARNA22
1056,HMGN2P28
1057,CFAP157
1058,GRWD1
1059,HSPD1P5
1060,FXR2
1061,ARMCX4
1062,EVC
1063,CRYBA4
1064,MIR524
1065,MIR132
1066,GCSH
1067,C10ORF53
1068,BMI1
1069,TSPYL2
1070,PAF1
1071,IGKV3-20
1072,HOMER2
1073,XPOT
1074,AKAIN1
1075,LHFPL2
1076,AGAP1
1077,SPRYD3
1078,DDAH1
1079,OR2L13
1080,FAM124B
1081,CDK20
1082,MTRNR2L2
1083,NHLH2
1084,ZNF443
1085,CROCC2
1086,AKR1B10P1
1087,DYNLT1
1088,SNORD3A
1089,PDXK
1090,OACYLP
1091,LINC01968
1092,CD274
1093,MIR519B
1094,SNORA51
1095,SLC25A45
1096,C12ORF75
1097,ITPKC
1098,KPNA6
1099,BMP3
1100,CCDC157
1101,STX4
1102,MCOLN2
1103,SLC17A3
1104,PDS5A
1105,DAB2
1106,HSDL1
1107,HIP14
1108,LINC01013
1109,HCP5B
1110,CRAT37
1111,VPS72
1112,ITPR3
1113,SCOC-AS1
1114,LAGE3P1
1115,FAM200A
1116,SNRPEP2
1117,SNORA65
1118,OR6P1
1119,RPS11P6
1120,TTTY14
1121,ZNF581
1122,SCAT1
1123,OBSL1
1124,SGSM2
1125,GSX1
1126,PDE6A
1127,HEATR5B
1128,ASNSP1
1129,WWP2
1130,TEX13B
1131,KLHL38
1132,PTGES2-AS1
1133,RPL32P20
1134,BUB1
1135,GBAS
1136,CDK2AP2
1137,DUX3
1138,NF-E2
1139,UBAP1
1140,CAPNS2
1141,MAP1S
1142,SAMD1
1143,PCAT4
1144,DEFB103A
1145,COA4
1146,FUNDC2
1147,TTLL7
1148,PHOSPHO2-KLHL23
1149,ZNF280C
1150,CALR
1151,COPZ1
1152,PAQR9-AS1
1153,LTBP3
1154,LPIN1
1155,AZIN2
1156,DUSP2
1157,MPL
1158,SMYD3
1159,CORO2B
1160,RLBP1
1161,CYP20A1
1162,TMEM108
1163,ZNF664-RFLNA
1164,TP53INP1
1165,ZNF727
1166,VWA3B
1167,LILRB5
1168,TXNDC9
1169,C7ORF66
1170,GJB3
1171,RPS18P12
1172,TMEM128
1173,PDR-1
1174,BRD4
1175,HERC3
1176,BCO1
1177,TNKS
1178,C16ORF58
1179,ASCC3
1180,HP
1181,LONRF3
1182,WNT10
1183,YRDC
1184,FBXO39
1185,EMX2OS
1186,TAF5
1187,VMO1
1188,ADAD2
1189,SNORD93
1190,PQLC2
1191,USP14
1192,C8ORF37
1193,CEP295NL
1194,P24B
1195,LINC01807
1196,AKIRIN2
1197,VPS33A
1198,SIAE
1199,SRP14-AS1
1200,CAMK4
1201,PIF1
1202,ZKSCAN7
1203,PROKR2
1204,EDARADD
1205,GIMAP4
1206,VAMP2
1207,COCH
1208,TTF1
1209,MIR1281
1210,TMEM74
1211,PTEN
1212,SFTA1P
1213,LINC00269
1214,ANP32E
1215,ESR2
1216,FAM166A
